id_vinho;fixedacidity;volatileacidity;citricacid;residualsugar;chlorides;freesulfurdioxide;totalsulfurdioxide;density;pH;sulphates;alcohol;quality;Vinho
1;6,6;0,24;0,35;7,7;0,031;36;135;0,9938;3,19;0,37;10,5;5;WHITE
2;6,7;0,34;0,43;1,6;0,041;29;114;0,99014;3,23;0,44;12,6;6;WHITE
3;10,6;0,31;0,49;2,2;0,063;18;40;0,9976;3,14;0,51;9,8;6;RED
4;5,4;0,18;0,24;4,8;0,041;30;113;0,99445;3,42;0,4;9,4;6;WHITE
5;6,7;0,3;0,44;18,75;0,057;65;224;0,99956;3,11;0,53;9,1;5;WHITE
6;6,8;0,5;0,11;1,5;0,075;16;49;0,99545;3,36;0,79;9,5;5;RED
7;6,6;0,61;0;1,6;0,069;4;8;0,99396;3,33;0,37;10,4;4;RED
8;7,2;0,66;0,33;2,5;0,068;34;102;0,99414;3,27;0,78;12,8;6;RED
9;5,1;0,26;0,33;1,1;0,027;46;113;0,98946;3,35;0,43;11,4;7;WHITE
10;6,2;0,22;0,2;20,8;0,035;58;184;1,00022;3,11;0,53;9;6;WHITE
11;6,6;0,25;0,36;8,1;0,045;54;180;0,9958;3,08;0,42;9,2;5;WHITE
12;7,3;0,27;0,37;9,7;0,042;36;130;0,9979;3,48;0,75;9,9;6;WHITE
13;6,7;0,26;0,29;7,7;0,038;40;179;0,99479;3,23;0,56;10,4;6;WHITE
14;6,2;0,12;0,26;5,7;0,044;56;158;0,9951;3,52;0,37;10,5;6;WHITE
15;8,1;0,25;0,38;3,8;0,051;18;129;0,9928;3,21;0,38;11,5;6;WHITE
16;6,6;0,27;0,32;1,3;0,044;18;93;0,99044;3,11;0,56;12,25;5;WHITE
17;7,2;0,63;0;1,9;0,097;14;38;0,99675;3,37;0,58;9;6;RED
18;8,5;0,15;0,49;1,5;0,031;17;122;0,9932;3,03;0,4;10,3;6;WHITE
19;7,1;0,735;0,16;1,9;0,1;15;77;0,9966;3,27;0,64;9,3;5;RED
20;6,6;0,19;0,43;10,9;0,045;53;154;0,99752;3,52;0,77;10,4;6;WHITE
21;6,1;0,32;0,37;1,8;0,051;13;200;0,9945;3,49;0,44;10,5;4;WHITE
22;6,5;0,25;0,45;7,8;0,048;52;188;0,99576;3,2;0,53;9,1;5;WHITE
23;6,4;0,31;0,09;1,4;0,066;15;28;0,99459;3,42;0,7;10;7;RED
24;5,9;0,32;0,39;3,3;0,114;24;140;0,9934;3,09;0,45;9,2;6;WHITE
25;7,2;0,32;0,3;8,25;0,02;14;104;0,99362;2,99;0,44;11,4;6;WHITE
26;6,4;0,45;0,07;1,1;0,03;10;131;0,9905;2,97;0,28;10,8;5;WHITE
27;6,6;0,25;0,24;1,7;0,048;26;124;0,9942;3,37;0,6;10,1;6;WHITE
28;9;0,58;0,25;2;0,104;8;21;0,99769;3,27;0,72;9,6;5;RED
29;7,3;0,735;0;2,2;0,08;18;28;0,99765;3,41;0,6;9,4;5;RED
30;6,3;0,24;0,29;13,7;0,035;53;134;0,99567;3,17;0,38;10,6;6;WHITE
31;6,8;0,2;0,36;1,6;0,028;7;46;0,99175;3,21;0,6;10,9;6;WHITE
32;6,8;0,57;0;2,5;0,072;32;64;0,99491;3,43;0,56;11,2;6;RED
33;11,1;0,31;0,53;2,2;0,06;3;10;0,99572;3,02;0,83;10,9;7;RED
34;7;0,23;0,26;7,2;0,041;21;90;0,99509;3,22;0,55;9,5;6;WHITE
35;7,9;0,66;0;1,4;0,096;6;13;0,99569;3,43;0,58;9,5;5;RED
36;7;0,49;0,49;5,6;0,06;26;121;0,9974;3,34;0,76;10,5;5;RED
37;7;0,27;0,32;6,8;0,047;47;193;0,9938;3,23;0,39;11,4;6;WHITE
38;6,5;0,14;0,33;7,6;0,05;53;189;0,9966;3,25;0,49;8,6;5;WHITE
39;7,1;0,12;0,3;3,1;0,018;15;37;0,99004;3,02;0,52;11,9;7;WHITE
40;7,3;0,26;0,33;11,8;0,057;48;127;0,99693;3,1;0,55;10;6;WHITE
41;7,5;0,4;1;19,5;0,041;33;148;0,9977;3,24;0,38;12;6;WHITE
42;7;0,27;0,36;20,7;0,045;45;170;1,001;3;0,45;8,8;6;WHITE
43;6;0,39;0,26;2,7;0,038;39;187;0,99325;3,41;0,5;10,8;6;WHITE
44;9,6;0,56;0,31;2,8;0,089;15;46;0,9979;3,11;0,92;10;6;RED
45;6,4;0,29;0,32;2,4;0,014;34;89;0,99008;3,24;0,66;12,5;7;WHITE
46;6,9;0,3;0,21;15,7;0,056;49;159;0,99827;3,11;0,48;9;5;WHITE
47;6,8;0,21;0,74;1,2;0,047;25;111;0,9916;3,13;0,41;10,7;6;WHITE
48;7,6;0,2;0,3;14,2;0,056;53;212,5;0,999;3,14;0,46;8,9;8;WHITE
49;7,9;0,37;0,31;2,85;0,037;5;24;0,9911;3,19;0,36;11,9;6;WHITE
50;8;0,36;0,39;1,6;0,024;26;93;0,99116;3,15;0,49;11,9;6;WHITE
51;6,8;0,23;0,33;1,9;0,047;20;101;0,9914;3,1;0,46;11,1;6;WHITE
52;7;0,16;0,32;1,1;0,032;29;80;0,98972;3,23;0,36;12,1;6;WHITE
53;5,3;0,58;0,07;6,9;0,043;34;149;0,9944;3,34;0,57;9,7;5;WHITE
54;6,7;0,24;0,36;8,4;0,042;42;123;0,99473;3,34;0,52;10,9;6;WHITE
55;7,1;0,715;0;2,35;0,071;21;47;0,99632;3,29;0,45;9,4;5;RED
56;6;0,24;0,28;3,95;0,038;61;134;0,99146;3,3;0,54;11,3;7;WHITE
57;7;0,22;0,33;2,1;0,052;15;76;0,993;3,2;0,41;10,6;6;WHITE
58;6,7;0,22;0,39;1,2;0,049;26;152;0,99346;3,5;0,47;10;6;WHITE
59;8,6;0,645;0,25;2;0,083;8;28;0,99815;3,28;0,6;10;6;RED
60;8;0,64;0,22;2,4;0,094;5;33;0,99612;3,37;0,58;11;5;RED
61;6;0,31;0,27;2,3;0,042;19;120;0,98952;3,32;0,41;12,7;7;WHITE
62;6,1;0,28;0,24;19,95;0,074;32;174;0,99922;3,19;0,44;9,3;6;WHITE
63;9,3;0,31;0,49;1,3;0,042;34;147;0,9948;3,11;0,46;9,8;5;WHITE
64;7,6;0,24;0,44;3,8;0,037;49;146;0,9911;3,06;0,37;11,6;6;WHITE
65;7,4;0,56;0,09;1,5;0,071;19;117;0,99496;3,22;0,53;9,8;5;WHITE
66;6,8;0,3;0,35;2,8;0,038;10;164;0,9912;3,09;0,53;12;6;WHITE
67;7,3;0,23;0,27;2,6;0,035;39;120;0,99138;3,04;0,59;11,3;7;WHITE
68;9,1;0,76;0,68;1,7;0,414;18;64;0,99652;2,9;1,33;9,1;6;RED
69;6,4;0,32;0,27;4,9;0,034;18;122;0,9916;3,36;0,71;12,5;6;WHITE
70;6;0,27;0,3;14,7;0,044;15;144;0,99666;3,12;0,53;10,3;6;WHITE
71;7,4;0,22;0,27;1,6;0,057;45;98;0,99299;3,29;0,44;9,9;7;WHITE
72;7,7;0,26;0,4;1,1;0,042;9;60;0,9915;2,89;0,5;10,6;5;WHITE
73;6,3;0,23;0,5;10,4;0,043;61;132;0,99542;2,86;0,46;9,1;6;WHITE
74;6,6;0,66;0;3;0,115;21;31;0,99629;3,45;0,63;10,3;5;RED
